Median House  Price - 2019,,,,,,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,prelim 2020,change,change,Growth PA,
BITTERN,304000,352000,365000,382500,402000,390000,382500,464000,526500,650000,577500,620000,-11,90,6.6,
BLACK HILL,242000,263500,292000,260000,283500,321500,296500,315000,370000,405000,495000,420000,22,105,7.4,
BLACK ROCK,1251500,1390000,1237500,1175000,1225000,1400000,1545000,1745000,2017500,2029000,1777500,1617500,-12,42,3.6,
BLACKBURN,700500,850000,786000,750000,860500,936000,1200500,1241000,1410500,1370500,1300000,1380500,-5,86,6.4,
BLACKBURN NORTH,540000,659000,617500,609000,692000,790000,921500,1040000,1140500,1038000,1010000,1116500,-3,87,6.5,
BLACKBURN SOUTH,547000,670000,636500,632000,697500,780000,920500,1050000,1200000,1050000,1038000,1170000,-1,90,6.6,
BLACKWOOD,261500,260000,263000,245000,310000,266000,260000,291000,403000,326500,372500,NA,14,42,3.6,
BLAIRGOWRIE,520000,625000,600000,580000,609000,627500,621500,770000,883000,986000,925000,955000,-6,78,5.9,
BLIND BIGHT,321000,337500,358000,319000,362500,343000,401000,440000,514000,546000,552500,630000,1,72,5.6,
BONBEACH,502000,585000,555000,535000,580000,635000,700000,778000,882500,910000,850000,903000,-7,69,5.4,
BONNIE DOON,182500,210000,215000,262500,250000,275000,290000,290000,315000,417500,420000,290000,1,130,8.7,
BONSHAW,-,-,-,-,-,309000,309000,322500,235000,375000,389000,448000,4,NA,NA,
BOOLARRA,172000,178000,209000,190000,196500,260000,212500,202500,255000,250000,245000,NA,-2,42,3.6,
BOORT,106000,157000,164000,107000,157500,162500,130000,200500,215000,180000,185000,136500,3,75,5.7,
BORONIA,382000,450000,440000,430000,459500,500500,592500,648500,735000,742500,684500,725000,-8,79,6.0,
BOTANIC RIDGE,472500,520000,475000,500000,492000,519000,565000,600000,690000,730000,700000,693000,-4,48,4.0,
BOX HILL,780000,874000,975000,852000,855000,1067000,1350000,1360500,1752500,1700000,1528000,1620000,-10,96,7.0,
BOX HILL NORTH,605000,726000,678000,648500,746000,856500,1060000,1146000,1321000,1188000,1200000,1272500,1,98,7.1,
BOX HILL SOUTH,601000,823000,770000,715000,785000,910000,1153000,1255000,1409000,1285500,1154000,1370000,-10,92,6.7,
BRAYBROOK,375000,460000,443000,396000,424000,479500,550000,629000,665500,719000,630000,690000,-12,68,5.3,
BREAKWATER,220000,250000,252500,242500,255000,251500,267500,277500,335000,385000,405000,NA,5,84,6.3,
BRIAGOLONG,180000,205000,225000,215000,226000,200000,215000,265000,257000,264000,315000,NA,19,75,5.8,
BRIAR HILL,450000,580000,545500,541000,572500,633000,680000,721500,833000,880000,817000,962000,-7,82,6.1,
BRIGHT,297500,311500,335000,340000,325000,349000,392500,429500,495000,590000,580000,645000,-2,95,6.9,
BRIGHTON,1700000,1810000,1720000,1789500,1802500,1940000,2302500,2740000,3050000,2879000,2600000,2825000,-10,53,4.3,
BRIGHTON EAST,1071000,1255000,1100000,1075000,1230000,1300000,1600000,1750000,1900000,1880000,1700000,1732500,-10,59,4.7,
BROADFORD,223000,248500,260000,268500,291000,267000,270000,287500,330000,396500,417500,439000,5,87,6.5,
BROADMEADOWS,320000,384000,357000,320000,325000,345000,370000,416500,546000,575000,526000,556500,-9,64,5.1,
BROOKFIELD,307500,333500,341000,332000,330000,350500,340000,360000,425000,491500,445000,488500,-9,45,3.8,
BROOKLYN,411500,486500,485000,470000,491500,540000,602000,700500,834000,695000,672500,605000,-3,63,5.0,
BROWN HILL,228000,261000,258500,300000,310000,281500,270000,338000,350000,405000,449000,439500,11,97,7.0,
BRUNSWICK,610000,710000,670000,673000,750000,815000,860500,946000,1200000,1097500,1030000,1208000,-6,69,5.4,
BRUNSWICK EAST,635000,700000,700000,713000,767000,819500,888000,998000,1150000,1170000,995500,1085000,-15,57,4.6,
BRUNSWICK WEST,601000,728000,701500,685000,745000,790000,866500,1005000,1155000,1160000,1061000,1096500,-9,77,5.8,
BRUTHEN,187500,226000,204000,175000,198000,182500,205000,207000,229500,261000,229000,215000,-12,22,2.0,
BULLEEN,640000,728000,722500,707000,780000,861000,1095000,1170000,1300000,1230000,1100000,1245000,-11,72,5.6,
BUNDALONG,430000,390000,500000,385000,337500,336500,372500,425000,373000,462000,515000,425000,11,20,1.8,
BUNDOORA,413500,500000,490000,485000,530000,553500,600500,651000,754000,730000,727500,775000,0,76,5.8,
BUNINYONG,270000,322500,307500,376500,349000,385000,364500,381000,470000,465000,475000,500000,2,76,5.8,
BUNYIP,282500,292500,340000,342500,332500,325000,420000,357500,437500,550000,501000,470000,-9,77,5.9,
BURNLEY,731000,800000,810000,797500,836000,1100000,999000,1215000,1405000,1305000,1188500,1902500,-9,63,5.0,
BURNSIDE,345000,395000,410000,385000,390000,401000,415000,518500,572500,605000,605000,645000,0,75,5.8,
BURNSIDE HEIGHTS,350000,405000,405000,420000,427000,442500,460000,522000,590000,633000,591000,600000,-7,69,5.4,
BURWOOD,675000,778000,799000,765000,780000,921000,1190000,1219000,1357000,1320000,1165000,1183000,-12,73,5.6,
BURWOOD EAST,570000,678000,630000,617000,685500,782000,982500,1021000,1126500,1048000,1020000,1125500,-3,79,6.0,
CAIRNLEA,390000,463000,478500,440000,480000,545000,540000,608500,710000,734000,752500,762500,3,93,6.8,
CALIFORNIA GULLY,209000,209500,240000,255000,252500,262000,256500,255000,250000,275000,289000,318000,5,38,3.3,
CAMBERWELL,1155000,1345000,1322000,1300000,1382000,1655000,1912500,2090000,2300000,2155000,2100000,1800000,-3,82,6.2,
CAMPBELLFIELD,320000,385000,360000,330000,330000,338000,374500,420000,507000,550000,534500,500000,-3,67,5.3,
CAMPBELLS CREEK,247500,316000,340000,343500,382000,345000,387500,426500,380000,460500,500000,495000,9,102,7.3,
CAMPERDOWN,177500,185000,180000,183500,220000,186000,218000,217500,240000,235000,280000,250000,19,58,4.7,
CANADIAN,251000,302500,298000,290500,322500,297000,345000,339000,334500,373000,377500,407000,1,50,4.2,
CANN RIVER,104000,87000,83500,150000,140000,120000,80000,148500,135000,126500,125000,122000,-1,20,1.9,
CANTERBURY,1680000,1827500,1730000,1790000,1950000,2100000,2523000,2620000,3140000,2536500,2832500,2250000,12,69,5.4,
CAPE PATERSON,312000,332500,420000,348000,337000,332000,350000,358000,407500,442000,540000,659000,22,73,5.6,
CAPE SCHANCK,520000,545000,477500,655000,620000,557500,660000,667500,972500,845000,940000,1018500,11,81,6.1,
CAPEL SOUND,307500,355000,375000,330000,350000,366000,390000,445000,542500,550000,515000,625000,-6,67,5.3,
CARISBROOK,151000,202000,134500,192500,218500,238500,200000,200000,245000,232500,300000,257000,29,99,7.1,
CARLTON,800000,900000,1055000,860500,1002500,1020000,830000,1050000,1470000,1600000,1306000,1500000,-18,63,5.0,
CARLTON NORTH,785000,930000,833000,940000,890500,1095000,1177500,1360000,1628000,1445000,1555000,1397500,8,98,7.1,
CARNEGIE,787500,880000,905500,845000,865000,1007500,1300000,1348500,1510000,1445000,1310000,1336000,-9,66,5.2,
CAROLINE SPRINGS,365000,407500,420000,427500,435000,460000,480000,530000,611000,620000,620000,631500,0,70,5.4,
CARRUM,435000,500000,492500,499000,510000,536000,611000,750000,846000,860000,770000,900000,-10,77,5.9,
CARRUM DOWNS,298000,330000,345000,334000,330000,346000,370000,430000,530000,575000,537500,577500,-7,80,6.1,
CASTERTON,101500,117500,106500,110000,97500,99000,100000,126500,142000,132500,150000,169000,13,48,4.0,
CASTLEMAINE,255000,300000,322500,338000,372500,369500,380000,410000,435000,499000,520000,579000,4,104,7.4,
CAULFIELD,945000,1180000,1150000,1085000,1172500,1322000,1650000,1715000,1914000,1701000,1658000,2082500,-3,75,5.8,
CAULFIELD EAST,855000,866000,760000,750000,845000,1168000,1167500,1300000,1500000,1322500,1372500,1748500,4,61,4.8,
CAULFIELD NORTH,1200000,1420000,1350000,1330000,1415000,1480000,1875000,2181000,2290000,1960000,2100000,2205000,7,75,5.8,
CAULFIELD SOUTH,850000,1007500,930000,890000,1050000,1200000,1375000,1517500,1690000,1600000,1488000,1720000,-7,75,5.8,
CHADSTONE,570000,670500,625000,595000,719000,823500,925000,1017500,1132000,1050000,1000000,1229000,-5,75,5.8,
CHARLEMONT,-,560000,560000,560000,560000,560000,560000,560000,157000,455000,465000,540000,2,0,NA,
CHARLTON,89000,125000,117000,123000,120000,131000,179500,160000,136000,150000,147000,215000,-2,65,5.1,
CHELSEA,483000,585500,525000,545000,577500,580000,730000,890000,914000,905000,857500,880000,-5,78,5.9,
CHELSEA HEIGHTS,405500,445000,454000,440000,465000,513000,598000,641000,750000,778000,750000,825000,-4,85,6.3,
CHELTENHAM,595500,696000,644000,635500,695000,775000,866000,940500,1171000,1105000,1035500,1200000,-6,74,5.7,
CHELTENHAM EAST,533000,630000,580000,545000,600000,670000,770000,867500,982500,940000,940000,1020000,0,76,5.8,
CHELTENHAM NORTH,550000,651000,581500,570000,584000,662000,750000,900000,1025000,925000,858000,967500,-7,56,4.5,
CHEWTON,220000,258000,255000,230500,312500,296000,369000,403500,320000,435000,439500,576000,1,100,7.2,
CHILTERN,227000,189000,202000,208000,171500,187500,220000,250000,238500,260000,223500,265000,-14,-2,-0.2,
CHIRNSIDE PARK,406000,449500,464000,435500,450000,490500,542500,627000,735000,700000,685000,752500,-2,69,5.4,
CHUM CREEK,290000,400500,402000,334000,350000,500000,435000,418000,534500,603000,575000,567500,-5,98,7.1,
CHURCHILL,150000,172000,170000,176500,182000,178500,172500,182000,175000,180000,185000,230000,3,24,2.1,
CLARINDA,476000,530000,530000,475500,525000,606500,682500,751000,866000,800000,815000,835000,2,71,5.5,
CLAYTON,560000,650500,617000,572500,645000,750000,976000,1010500,1255000,1255000,1100500,1121000,-12,97,7.0,
CLAYTON NORTH,580500,745500,619500,649000,630000,850000,1075000,1100000,1234500,1335000,1405000,NA,5,142,9.2,
CLAYTON SOUTH,463000,550500,511000,470500,522500,580000,690000,755000,850000,850000,832000,736500,-2,80,6.0,
CLIFTON HILL,751000,825000,780000,801500,865000,965000,1085000,1220000,1390000,1360000,1352500,1432000,-1,80,6.1,
CLIFTON SPRINGS,278500,318000,340000,325000,336000,342000,345000,365000,419000,472000,485000,517000,3,74,5.7,
CLUNES,164000,187500,199000,196500,219000,237500,245000,255000,263000,345000,330000,285000,-4,101,7.2,
CLYDE,340000,361500,515000,272500,397000,406000,397000,435000,430000,507500,549000,569500,8,61,4.9,
CLYDE NORTH,-,-,300000,395000,409000,380000,410000,491000,550000,600000,584500,596500,-3,NA,NA,
COBBLEBANK,-,-,-,400000,335500,323000,318000,328000,374000,455500,480500,465000,5,NA,NA,
COBDEN,180000,220000,200000,186500,162500,145000,178500,177000,263000,225000,237000,267500,5,32,2.8,
COBRAM,224000,212000,207500,220000,218000,230000,236000,265000,255000,255000,272500,304000,7,22,2.0,
COBURG,535500,640000,611000,594000,633000,710000,778000,876000,1000000,970000,931000,1140000,-4,74,5.7,
COBURG EAST,469000,544000,510000,466500,560000,597500,675000,762500,861000,841500,823500,941000,-2,76,5.8,
COBURG NORTH,455000,533000,540000,489500,538500,600000,665000,780000,821000,814000,812500,915000,0,79,6.0,
COCKATOO,290000,312000,325000,333500,355000,365000,385500,430000,539500,591000,580000,596000,-2,100,7.2,
COHUNA,161500,137000,170000,140000,139000,175000,175000,157500,180000,177500,205000,220500,15,27,2.4,
COLAC,205000,213000,215000,225000,226500,235000,246500,259500,282500,320000,315000,339000,-2,54,4.4,
COLDSTREAM,338500,395000,377500,368000,385000,405000,441000,521000,597500,660000,635000,656000,-4,88,6.5,
COLERAINE,120000,95000,124000,109500,118000,95000,96000,90000,134000,114000,136000,110000,19,13,1.3,
COLLINGWOOD,610000,751500,697500,734000,741000,775000,914000,920000,1205000,1110000,1050000,1215000,-5,72,5.6,
CONNEWARRE,690000,850000,707500,810000,612500,722500,800000,892000,955000,1200000,1345000,1085000,12,95,6.9,
COOLAROO,265000,315000,304000,278000,290000,290000,302500,340000,451000,480000,441000,480000,-8,66,5.2,
COONANS HILL,566000,690000,630000,606500,655000,732000,743000,870000,963000,927000,902500,1047500,-3,59,4.8,
COONGULLA,140000,163000,250000,156000,150000,205000,189000,185000,192000,242000,335000,310000,38,139,9.1,
CORINELLA,277000,325000,282500,290000,330000,270000,370000,325000,391000,450000,357500,660000,-21,29,2.6,
CORIO,196500,225000,225000,230000,230000,242000,240000,250000,305000,370000,354000,365000,-4,80,6.1,
CORONET BAY,205000,245000,261500,222500,251000,249000,240000,266000,325500,345000,365000,375000,6,78,5.9,
CORRYONG,142500,128000,155000,152500,166500,135000,160000,164000,180000,162500,236000,200000,45,66,5.2,
COWES,355000,400000,372500,380000,387500,358500,417500,402500,437500,540000,560000,525000,4,58,4.7,
COWES WEST,277500,318500,350000,345000,320000,350000,329000,353500,390000,485500,508500,472500,5,83,6.2,
CRAIGIEBURN,327000,365000,360000,350000,360000,362000,390000,425000,502500,547000,530000,545000,-3,62,4.9,
CRANBOURNE,280000,327000,325000,313000,315000,331500,360000,406000,510000,540000,500000,516500,-7,79,6.0,
CRANBOURNE EAST,328000,353000,368000,370000,390000,410000,437000,460000,535000,574000,565000,560000,-2,72,5.6,
CRANBOURNE NORTH,320000,355000,361000,370000,370000,375000,410000,455000,541000,600000,570000,570000,-5,78,5.9,
CRANBOURNE WEST,282000,310000,319000,320000,330000,335000,350000,410000,510500,540000,520000,532500,-4,84,6.3,
CREMORNE,682000,835000,735000,701000,821000,886500,1030000,1072000,1230000,1420000,1267000,1665000,-11,86,6.4,
CRESWICK,196500,214000,223000,245000,245000,270000,265000,292500,310000,330000,345000,370000,5,76,5.8,
CRIB POINT,279000,347500,330000,350000,355000,339000,350000,402000,502500,555000,527500,597500,-5,89,6.6,
CROYDON,396500,465000,465000,450000,470000,525000,605000,695000,810000,787500,732500,762500,-7,85,6.3,
CROYDON HILLS,475500,549500,532000,538000,571500,606000,697000,730000,875000,877500,835000,927500,-5,76,5.8,
CROYDON NORTH,471000,527500,505500,520000,540500,600000,702500,790500,872000,840000,825000,895000,-2,75,5.8,
CROYDON SOUTH,390500,455000,435500,436500,442000,530000,600000,655000,800000,757500,716000,706000,-5,83,6.3,
CURLEWIS,-,-,153000,153000,387000,382500,387000,406500,430000,495000,560000,546000,13,NA,NA,
DALLAS,290000,320000,305000,276500,280000,295000,321500,345000,430000,490000,451500,480000,-8,56,4.5,
DALYSTON,200000,271000,281500,210000,245000,260000,257000,255000,273500,305000,373000,350000,22,87,6.4,
DANDENONG,346000,430000,400500,400000,405000,439000,485000,555500,619000,640000,602000,630000,-6,74,5.7,
DANDENONG NORTH,340000,400000,395000,370000,390000,415500,481000,551000,633500,640000,605000,636000,-5,78,5.9,
DARLEY,256500,330000,325000,340500,330500,360000,377500,371500,430000,505000,520000,535000,3,103,7.3,
DARTMOOR,148000,84000,105000,58000,64000,129000,61000,115000,75000,125000,157500,NA,26,6,0.6,
DAYLESFORD,290000,372500,351500,384500,385000,401500,442500,464000,502000,550000,590000,650000,7,103,7.4,
DEANSIDE,-,-,-,-,-,-,-,-,340000,352500,-,NA,NA,NA,NA,
DEEPDENE,1790500,1930000,2046500,1875000,1981000,2215000,2750000,2600000,2862500,2692500,2758000,NA,2,54,4.4,
DEER PARK,306000,355000,357000,345000,348000,365000,390000,441000,552500,580000,550000,585000,-5,80,6.0,
DELACOMBE,260000,263000,278500,285000,280000,292000,290000,319000,325000,360000,390000,368000,8,50,4.1,
DELAHEY,310000,365000,370000,360000,372500,370000,400000,458000,545000,575000,530000,602000,-8,71,5.5,
DENNINGTON,280000,329000,349000,323500,320000,315000,345000,342500,345000,355000,360000,427500,1,29,2.5,
DERRIMUT,367000,395000,418000,410000,417000,435000,466000,530000,635000,615000,649000,637500,6,77,5.9,
DERRINALLUM,143000,180000,157500,160000,97000,174000,125000,150000,162000,122500,221500,158500,81,55,4.5,
DIAMOND CREEK,441000,515000,515000,490000,513000,550000,580000,646500,755000,782500,751500,749500,-4,70,5.5,
DIGGERS REST,240000,266500,285000,279000,280000,325000,325000,360000,440500,500000,515000,500000,3,115,7.9,
DIMBOOLA,90000,85500,107500,90000,89000,90500,109500,116000,122500,130000,120000,129000,-8,33,2.9,
DINGLEY VILLAGE,469500,553000,540000,515000,553500,607000,690000,775500,887000,840500,810000,940000,-4,73,5.6,
DINNER PLAIN,455000,475000,450000,410000,390000,309000,359000,400000,412500,510000,520000,452500,2,14,1.3,
DONALD,92500,135000,165000,104000,140000,120000,125000,145000,122000,145000,135500,154500,-7,46,3.9,
DONCASTER,689000,795000,770000,720000,850000,999000,1176000,1297500,1380000,1300000,1251500,1260000,-4,82,6.1,
DONCASTER EAST,630000,750000,720000,682000,789000,894500,1113500,1230000,1357500,1221500,1190000,1317500,-3,89,6.6,
DONVALE,601000,715000,712500,681000,735000,840000,964000,970000,1201000,1182500,1121000,1360000,-5,87,6.4,
DOREEN,375000,430000,460000,450000,415000,430000,440000,470500,550000,601000,597500,606500,-1,59,4.8,
DOVETON,268500,330000,322000,290000,302000,310500,348000,405000,490000,542500,470000,494000,-13,75,5.8,
DROMANA,385000,446500,455000,451000,462000,492000,552000,583000,690000,785500,715500,680000,-9,86,6.4,
DROUIN,243000,275500,289000,290000,300000,311000,320000,347000,390000,455000,440000,470000,-3,81,6.1,
DRYSDALE,306000,355000,425000,360000,385000,405000,410000,409000,436000,510000,572500,615000,12,87,6.5,
DUNKELD,210000,180000,245000,179000,210000,177500,191500,207500,210000,297500,225000,305000,-24,7,0.7,
DUNOLLY,132500,120000,145000,159000,182500,170000,167500,180000,179000,206500,234500,209000,14,77,5.9,
EAGLE POINT,237000,236000,301500,237000,227000,281500,335000,267500,250000,309000,360000,425000,17,52,4.3,
EAGLEHAWK,215000,226000,240000,260000,264000,274000,283000,270000,295000,315000,321500,335000,2,50,4.1,
EAGLEMONT,1455000,1330000,1500000,1343500,1340000,1522500,1730000,1895500,1963000,1950000,1799000,1777500,-8,24,2.1,
EAST BAIRNSDALE,195000,195000,176500,190000,226000,160000,202500,212500,222000,225000,235000,335000,4,21,1.9,
EAST BENDIGO,225500,262500,267000,295000,285000,330000,300000,303500,335000,318000,390000,387000,23,73,5.6,
EAST GEELONG,334000,400000,400000,395000,450000,427000,440000,512500,600000,637000,625000,760000,-2,87,6.5,
EAST MELBOURNE,1680000,1621000,1737500,2480000,1790000,1850000,2750000,3655000,3585000,2675000,3413500,2350000,28,103,7.3,
EAST WARBURTON,250000,285000,332500,282500,289500,275000,305000,369000,392500,428500,446500,544500,4,79,6.0,
EASTWOOD,310000,330000,334000,332000,335000,342000,335000,357500,380000,385000,410000,395000,6,32,2.8,
ECHUCA,255000,271000,278000,270000,285000,285000,300000,310000,320000,365000,370000,382000,1,45,3.8,
EDENHOPE,83000,132500,100000,106000,160000,130000,115000,144500,160000,147000,173000,NA,18,108,7.6,
EDITHVALE,485000,616000,590000,625000,615000,670000,766000,930000,1058500,1047500,954000,1125000,-9,97,7.0,
